Title, department, Detail
Faculty of Engineering,Mechanical Engineering,METHOD FOR MEASURING ELASTIC PROPERTIESThis invention relates to a method for measuring elastic modulus of a sample object. This invention also relates to a method for correcting creep effects in the modulus measurement. The error due to creep in the apparent contact compliance is equal to the ratio of the indenter displacement rate at the end of the load hold to the unloading rate. Determination of this error term and deduction of it from the measured contact compliance can be easily done at a low cost by modifying the data analysis software in any commercial depth-sensing indentation system.US Patent Number: 6 883 367EP Patent Number: 1314970PHOTOCHEMICALLY CROSSLINKED COLLAGEN SCAFFOLDS AND METHODS FOR THEIR PREPARATIONA method for producing collagen-based scaffolds with improved characteristics  which broadens the usage of collagen in tissue engineering and the products so produced are described. The method comprises reconstitution of three-dimensional collagen matrices from collagen monomer solution and crosslinking the matrix with a light source in the presence of a photosensitizing reagent. The crosslinked products can be in any shape and form and used in the dry or wet state  for applications including but not limited to tissue engineering and controlled drug delivery.US Patent Number: 7 393 437BIOENGINEERED INTERVERTEBRAL DISCS AND METHODS FOR THEIR PREPARATIONNew!A bioengineered IVD for disc replacement has been developed that has mechanical and structural support characteristics similar to those of native IVD. Extracellular matrix (ECM) provides support to living cell components and interacts with the living cellular components during the fabrication process without introducing toxicity. The composition can be produced from both natural or synthetic source but preferably natural and induced to self-assemble or reconstitute into its solid form under conditions that are mild enough to support cellular survival and growth. The cells induce a volume change of the structures  leading to changes in dimension  ECM density  cell density mechanical property and stability  etc. The extent of the change i volume of the composition can be precisely controlled by factors such as the density of the ECM  the density of the living cells  the timing for interaction and the serum concentration. Increased structural support is provided by crosslinking.US Patent Number: 8 734 827EP Patent Number: 2019653CELL-MATRIX MICROSPHERES  METHODS FOR PREPARATION AND APPLICATIONSNew!A method has been developed to produce stable cell-matrix microspheres with up to 100% encapsulation efficiency and high cell viability  using matrix or biomaterial systems with poor shape and mechanical stability for applications including cell therapeutics via microinjection or surgical implantation  3D culture for in vitro expansion without repeated cell splitting using enzymatic digestion or mechanical dissociation and for enhanced production of therapeutic biomolecules  and in vitro modeling for morphogenesis studies. The modified droplet generation method is simple and scalable and enables the production of cell-matrix microspheres when the matrix or biomaterial system used has low concentration  with slow phase transition  with poor shape and mechanical stability.US Patent Number: 8 679 809US Patent Number: 9 464 271PRC Patent Number: ZL200780018296.8,
Faculty of Engineering,Mechanical Engineering,METHOD FOR MEASURING ELASTIC PROPERTIESThis invention relates to a method for measuring elastic modulus of a sample object. This invention also relates to a method for correcting creep effects in the modulus measurement. The error due to creep in the apparent contact compliance is equal to the ratio of the indenter displacement rate at the end of the load hold to the unloading rate. Determination of this error term and deduction of it from the measured contact compliance can be easily done at a low cost by modifying the data analysis software in any commercial depth-sensing indentation system.US Patent Number: 6 883 367EP Patent Number: 1314970PHOTOCHEMICALLY CROSSLINKED COLLAGEN SCAFFOLDS AND METHODS FOR THEIR PREPARATIONA method for producing collagen-based scaffolds with improved characteristics  which broadens the usage of collagen in tissue engineering and the products so produced are described. The method comprises reconstitution of three-dimensional collagen matrices from collagen monomer solution and crosslinking the matrix with a light source in the presence of a photosensitizing reagent. The crosslinked products can be in any shape and form and used in the dry or wet state  for applications including but not limited to tissue engineering and controlled drug delivery.US Patent Number: 7 393 437BIOENGINEERED INTERVERTEBRAL DISCS AND METHODS FOR THEIR PREPARATIONNew!A bioengineered IVD for disc replacement has been developed that has mechanical and structural support characteristics similar to those of native IVD. Extracellular matrix (ECM) provides support to living cell components and interacts with the living cellular components during the fabrication process without introducing toxicity. The composition can be produced from both natural or synthetic source but preferably natural and induced to self-assemble or reconstitute into its solid form under conditions that are mild enough to support cellular survival and growth. The cells induce a volume change of the structures  leading to changes in dimension  ECM density  cell density mechanical property and stability  etc. The extent of the change i volume of the composition can be precisely controlled by factors such as the density of the ECM  the density of the living cells  the timing for interaction and the serum concentration. Increased structural support is provided by crosslinking.US Patent Number: 8 734 827EP Patent Number: 2019653CELL-MATRIX MICROSPHERES  METHODS FOR PREPARATION AND APPLICATIONSNew!A method has been developed to produce stable cell-matrix microspheres with up to 100% encapsulation efficiency and high cell viability  using matrix or biomaterial systems with poor shape and mechanical stability for applications including cell therapeutics via microinjection or surgical implantation  3D culture for in vitro expansion without repeated cell splitting using enzymatic digestion or mechanical dissociation and for enhanced production of therapeutic biomolecules  and in vitro modeling for morphogenesis studies. The modified droplet generation method is simple and scalable and enables the production of cell-matrix microspheres when the matrix or biomaterial system used has low concentration  with slow phase transition  with poor shape and mechanical stability.US Patent Number: 8 679 809US Patent Number: 9 464 271PRC Patent Number: ZL200780018296.8,

Faculty of Science,Chemistry,Catalyst for Hydrogen Generation from Small Organic MoleculesNew!A catalyst for the generation of hydrogen from a small organic molecule comprises a tertiary metal composition where: the first metal is either Pt or Ru; the second metal is at least one of Pt  Ru  Au  Pd  Rh  Ir  Os  and/or Re; and Bi  primarily present in the form of an oxide or of a mixture of oxides and carbonates and in the +3 oxidation state. A portion of the first and/or second metal may be in the form of an oxide. The catalyst can be in the form of a nanoparticle and supported on an inert substrate  such as carbon. The catalyst can be used for dehydrogenation of formic acid or other small organic molecules in a liquid state at ambient pressures and at temperatures below the boiling point of the liquid. The liquid can be an aqueous solution of the small organic molecule. More >>>US Patent Number: 8 754 000HYDROXY-SUBSTITUTED GOLD(III) PORPHYRIN COMPLEXES AS HISTONE DEACETYLASE INHIBITORSNew!A method for treatment of cancer by inhibiting the activity of histone deacetylase  comprising administering to a human in need of such treatment a composition containing a therapeutically effective amount of a gold(III) complex having the structural formula of ##STR00001## or a pharmaceutically acceptable salt thereof  wherein: --R is selected from the group consisting of --OH  --CH.sub.2OH  C.sub.2H.sub.4OH  --C.sub.3H.sub.6OH or --C.sub.4H.sub.8OH; and X is independently a pharmaceutically acceptable counter-ion.US Patent Number: 8 563 712PHARMACEUTICAL COMPOSITION CONTAINING CYCLOMETALATED N-HETEROCYCLIC CARBENE COMPLEXES FOR CANCER TREATMENTNew!The present disclosure is related to a pharmaceutical composition for treatment of cancer comprising a cyclometalated N-heterocyclic carbene complex. The cyclometalated N-heterocyclic carbene complex contains a gold(III) or a platinum(II) atom. The pharmaceutical composition possesses anti-cancer activity such as the induction of cell death  inhibition of cellular proliferation  inhibition of topoisomerase and/or poisoning of topoisomerase.US Patent Number: 8 530 659PRC Patent Number: ZL201080049820.XSOLID SUPPORTED GOLD NANOPARTICLES  METHODS OF USE THEREOF  AND METHODS FOR MAKING SAMENew!Solid-supported gold nanoparticles for use as a catalyst for the synthesis of quinolines from anilines and aldehydes using oxygen as an oxidant are provided. Also provided are a method for the preparation of SiO.sub.2-supported gold nanoparticles by in situ deposition of gold nanoparticles to silica gel and a method for synthesizing quinolines from anilines and aldehydes using oxygen as an oxidant. More >>>US Patent Number: 8 778 830,
Faculty of Science,Chemistry,PROCESS FOR CATALYTIC EPOXIDATION OF OLEFINIC COMPOUNDS  NOVEL CYCLIC KETONE CATALYSTS USEFUL IN SAID PROCESSMethods for effecting epoxidation of olefinic compounds using cyclic ketone catalysts is provided. In particular  catalytic asymmetric epoxidation of unfunctionalized olefins  e.g.  trans-olefins and trisubstituted olefins using novel cyclic ketones possessing C.sub.2 symmetric chiral elements is provided.US Patent Number: 5 763 623METHOD FOR SYNTHESIZING 5.BETA.  6.BETA.-EPOXIDES OF STEROIDS BY A HIGHLY .BETA.-SELECTIVE EPOXIDATION OF .DELTA..DELTA.5-UNSATURATED STEROIDS CATALYZED BY KETONESA general  efficient  and environmentally friendly method is provided for producing mostly .beta.-epoxides of .DELTA..sup.5 -unsaturated steroids using certain ketones as the catalyst along with an oxidizing agent  or by using certain dioxiranes. In another aspect of the invention  a method is provided for producing mostly 5.beta. 6.beta.-epoxides of steroids from .DELTA..sup.5 -unsaturated steroids having a substituent at the 3.alpha.-position by an epoxidation reaction using a ketone along with an oxidizing agent under conditions effective to generate epoxides  or using a dioxirane under conditions effective to generate epoxides. A whole range of .DELTA..sup.5 -unsaturated steroids  bearing different functional groups such as hydroxy  carbonyl  acetyl or ketal group as well as different side chains  were conveniently converted to the corresponding synthetically and biologically interesting 5.beta. 6.beta.-epoxides with excellent .beta.-selectivities and high yields.US Patent Number: 6 841 665METHODS AND APPARATUS FOR THE OXIDATION OF GLUCOSE MOLECULESA catalyst comprising Pt--Co alloy  or Pt--Co--Sn alloy or Pt--Co.sub.mO.sub.n mixed metal oxides is disclosed to be used as a catalyst for the direct electrochemical oxidation of glucose or other simple sugars and carbohydrates at room temperature. The catalyst can be supported on metal electrodes  graphite electrodes  porous carbon electrodes  or gas diffusion electrodes. An electrode containing this catalyst will be used as the key component in a direct glucose-air fuel cell operating in alkaline media with a good room temperature performance. This catalyst can also be applied as a key electrode material in a glucose sensor to detect glucose concentration in neutral or alkaline medium. The preparation method of the catalyst  optimum composition  and results of glucose sensor and glucose fuel cell applications are disclosed. More >>>US Patent Number: 7 419 580HK Patent Number: HK1057505PRC Patent Number: ZL01804931.1EP Patent Number: 1341603LUMINESCENT SENSORY MATERIAL FOR ORGANIC-HALOGEN COMPOUNDS AND METHODS AND APPARATUS UTILISING SUCHA luminescent sensory material for the detection of the presence of organo-halogen compounds is described. This material is based on a platinum chromophore functionalized with pyridylacetylide ligands  as shown in Formulae I and II below. These complexes exhibit positive luminescence upon exposure to the vapors of organ-halogen compounds like CH.sub.2Cl.sub.2 or CHCl.sub.3 with high selectivity over non-chlorinated common organic vapors. Direct relationships between vapor concentration and luminescence intensity are established using thin films prepared from these complexes. ##STR00001##US Patent Number: 6 998 271,
Faculty of Science,Chemistry,CATALYST COMPONENT FOR OLEFIN POLYMERIZATIONDisclosed herein are compounds shown as Formula I: ##STR1## wherein R.sup.1 -R.sup.11 are each independently selected from a group comprising hydrocarbyl  substituted hydrocarbyl  heterohydrocarbyl  and substituted heterohydrocarbyl containing 1 to 20 carbon atoms and two or more of the R.sup.1 -R.sup.11 groups may be joined to form cyclic versions; R.sup.1 -R.sup.11 can also be selected from hydrogen  halogen  and recognized donor and acceptor groups; E is a Group 16 element (including oxygen); M is a metal selected from the group comprising Group 3 to 10 elements (including titanium and zirconium) and the Lanthanide series elements; m is the oxidation state of the metal; X is a monovalent atom or group bonded to M; Y is a mono- or bidentate molecule datively bound to M  and n is zero or an integer up to five. These catalysts  when combined with a suitable activator  are active for the polymerization of olefins.US Patent Number: 6 825 296PRC Patent Number: ZL03128652.6INTRAMOLECULAR AMIDATION OF SULFAMATES CATALYZED BY METALLOPORPHYRINSAn intramolecular amidation processes for substrates such as sulfamates using chiral and non-chiral metalloporphyrin complexes which can maximize catalytic activity  enhance efficiency  stereoselectivity and speed of amidation reactions is described. The chiral metalloporphyrin catalyzed amidation of sulfamates exhibits excellent cis-selectivity  affording cyclic sulfamidates with high enantiomeric excess values.US Patent Number: 7 105 660POLYOLEFIN CATALYST COMPONENT USING NON-COVALENT INTERACTIONSAn olefin polymerization catalyst system is prepared from a catalyst of formula I or II: ##STR00001## R.sup.1 R.sup.7 and R.sup.1 R.sup.12 in formulae I and II  respectively  are each independently --H  -halo  --NO.sub.2  --CN  --(C.sub.1 C.sub.30)hydrocarbyl  --O(C.sub.1 C.sub.30)hydrocarbyl  --N((C.sub.1 C.sub.30)hydrocarbyl).sub.2  --Si((C.sub.1 C.sub.30)hydrocarbyl).sub.3  --(C.sub.1 C.sub.30)heterohydrocarbyl  -aryl  or -heteroaryl  each being unsubstituted or substituted with one or more --R.sup.8 and --R.sup.12 groups  respectively. Two R.sup.1 R.sup.7 can be joined to form a cyclic group. R.sup.8 in formula I is -halo  --(C.sub.1 C.sub.30)hydrocarbyl  --O(C.sub.1 C.sub.30)hydrocarbyl  --NO.sub.2  --CN  --Si((C.sub.1 C.sub.30)hydrocarbyl).sub.3  --N((C.sub.1 C.sub.30)hydrocarbyl).sub.2  --(C.sub.1 C.sub.30)heterohydrocarbyl  -aryl  or -heteroaryl. T in formula I is --CR.sup.9R.sup.10-- wherein R.sup.9 and R.sup.10 are defined as for R.sup.1 above. R.sup.12 is independently -halo  --NO.sub.2  --CN  --(C.sub.1 C.sub.30)hydrocarbyl  --O(C.sub.1 C.sub.30)hydrocarbyl  --N((C.sub.1 C.sub.30)hydrocarbyl).sub.2  --Si((C.sub.1 C.sub.30)hydrocarbyl).sub.3  --(C.sub.1 C.sub.30)heterohydrocarbyl  -aryl  or -heteroaryl. E  M  m  X  Y  and n in formulae I and II are defined herein.US Patent Number: 6 998 363US Patent Number: 7 105 672PRC Patent Number: ZL200610151517.6PRC Patent Number: ZL03819838.XJapan Patent Number: 4481820SERUM BIOMARKERS OF HEPATITIS B VIRUS-INFECTED LIVER & METHODS FOR DETECTION THEREOFThe invention provides a method for detecting the presence of altered serum proteins in an Hepatitis B Virus (HBV)-infected patient with liver inflammation  comprising: obtaining a sample of serum from the patient; subjecting the sample to protein gel electrophoresis to separate proteins contained therein; staining proteins separated on the electrophoresis gel with silver nitrate solution; scanning the images of stained proteins into an image analysis scanner to obtain gel images; comparing the gel images to control samples of electrophoresis gels prepared from serum of normal patient and serum of HBV-infected patient with liver inflammation to determine whether the sample of serum from the patient contains specific serum proteins. This invention also provides serum protein biomarkers for the diagnosis of patients with HBV infection and liver inflammation.US Patent Number: 7 257 365,
Faculty of Science,Chemistry,PHOTOCHROMIC DIARYLETHENE-CONTAINING COORDINATION COMPOUNDS AND THE PRODUCTION THEREOFNew!Diarylethene-containing ligands and their coordination compounds are described. The ligands display photochromism with UV excitation  while the coordination compounds display photochromism with both excitation in the UV region and excitation into lower energy absorption bands characteristic of the coordination compounds  through which the excitation wavelengths for the photocyclization can be extended from .lamda..ltoreq.340 nm to wavelengths beyond 470 nm. Switching of the luminescence properties of the compounds has also been achieved through photochromic reactions.US Patent Number: 7 355 775US Patent Number: 7 755 826US Patent Number: 8 107 150PRC Patent Number: ZL200480019435.5Japan Patent Number: 4939937EP Patent Number: 1648864DIASTEREOSELECTIVE EPOXIDATION OF ALLYLICALLY SUBSTITUTED ALKENES USING METALLOPORPHYRIN CATALYSTSDiastereoselective epoxidation of allylically substituted alkenes using metalloporphyrins as catalyst provides high trans-selectivities (i.e.  trans-:cis-epoxide ratio). A diversity of cycloalkenes bearing different allylic substituents are shown to be efficiently epoxidized to afford the corresponding trans-epoxides with excellent trans-selectivities (up to >98%) and good yields (up to 99%). Acyclic allylic alkenes bearing different allylic substituents are efficiently epoxidized to afford the corresponding erythro-epoxides with good erythro-selectivities. The metalloporphyrin-catalyzed reactions exhibit up to 20 times higher trans-selectivities than the conventional method using m-chloroperoxybenzoic acid as oxidant.US Patent Number: 7 482 478THIOUREA COMPOSITIONS AND USES THEREOFThe invention provides N N -disubstituted monothiourea or bis-thiourea-Pd(0) complexes that are useful as catalysts for palladium-catalyzed Heck reaction of aryl iodides and bromides with olefins  and as catalysts for palladium catalyzed Suzuki reactions of organoboric compounds and aryl halides.US Patent Number: 7 501 510PRC Patent Number: ZL200580009713.3EP Patent Number: 1730117SUPPORTED RUTHENIUM NANOPARTICLE CATALYST FOR CIS-DIHYDROXYLATION AND OXIDATIVE CLEAVAGE OF ALKENESThe present invention relates to the use of nanosized metal particles (e.g.  ruthenium) grafted on inert solid support for oxidation of alkenes. The supported metal catalyst can effect cis-dihydroxylation and oxidative cleavage of alkenes to give the respective cis-diols and carbonyl products.US Patent Number: 7 393 985PRC Patent Number: ZL200580012423.4,
Faculty of Science,Chemistry,DIAZENE- BRIDGED CROWN ETHER LITHIUM COMPOUNDS AND METHODS FOR THEIR USEThis invention provides a method for treating an eye disease in a patient comprising: providing a photosensitive prodrug that releases upon exposure to light an active ingredient to treat the eye disease; administering the prodrug in a pharmaceutically accepted vehicle to the subject  and exposing the eye of the subject to an external light source to cause the prodrug to release the active ingredient. This invention also provides a composition for the treatment of glaucoma  comprising a compound containing a lithium ion-chelated in a crown ether- or aza-crown ether-containing chromene or diazene derivative and a pharmaceutically acceptable carrier.US Patent Number: 7 468 434UK Patent Number: GB2437456PRC Patent Number: ZL200580044196.3METHOD FOR CONVERSION OF TERMINAL ALKENES TO ALDEHYDES USING RUTHENIUM (IV) PORPHYRIN CATALYSTSAldehydes were obtained in excellent yields from ruthenium-porphyrin-catalyzed oxidation of various terminal alkenes with 2 6-dichloropyridine N-oxide under mild conditions. The aldehydes generated from these ruthenium-catalyzed alkene oxidation reactions can be used in-situ for olefination reactions with ethyl diazoacetate in the presence of PPh.sub.3  leading to one-pot diazoacetate olefination starting from alkenes.US Patent Number: 7 582 750LUMINESCENT GOLD (III) COMPOUNDS  THEIR PREPARATION  AND LIGHT-EMITTING DEVICES CONTAINING SAMENew!A class of luminescent gold(III) compounds with a tridentate ligand and at least one strong .sigma.-donating group having the chemical structure represented by the general formula (I): ##STR00001## wherein R.sub.1-R.sub.4 each independently represent the group containing hydrogen  halogen  alkynyl  substituted alkynyl  alkyl  substituted alkyl  aryl  substituted aryl  heteroaryl  substituted heteroaryl  alkoxyl  substituted alkoxyl  amino  substituted amino  cyano  nitro  alkylcarbonyl  alkoxycarbonyl  arylcarbonyl  aryloxycarbonyl  mono- or dialkylaminocarbonyl  alkylcarbonyloxy  arylcarbonyloxy  aryloxy  alkoxycarbonyl  aryloxycarbonyloxy group  and the like; X  Y and Z each independently represent a heteroatom or a carbon; ##STR00002## represents an aromatic or heterocyclic 5- or 6-membered ring; .alpha. and .beta. each independently represent a bridge for an aromatic or heterocyclic 5- or 6-membered ring or represent a break for non-cyclic moiety; C--X  C--Y and C--Z each independently represent a single bond or double bond; n represents a zero or an integer; p  q and r represent positive integers. More >>>US Patent Number: 7 572 912US Patent Number: 8 987 450US Patent Number: 8 415 473PRC Patent Number: ZL200580036932.0POLYMER COMPOSITE MEMBRANE AND METHOD OF MAKING THE SAMEThe present invention provides a polymer composite membrane having a polymer membrane and a poly(furfuryl alcohol) filling internal pores of the polymer membrane. The polymer composite membrane can have a high proton conductivity and/or a reduced methanol permeability and can be used in fuel cells  electrochemical sensor  and the like. The present invention also provides a method of making a polymer composite membrane  by providing a perfluorosulfonic polymer member  subjecting the perfluorosulfonic polymer member to a furan-based monomer  and polymerizing the furan-based monomer to obtain a polymer composite membrane having a high proton conductivity and/or a reduced methanol permeability. More >>>US Patent Number: 7 459 487,
Faculty of Science,Chemistry,DI(AMINO-SUBSTITUTED)HETEROARENE COMPOUNDS AS OSTEOBLASTOGENESIS AGENTSThe present invention relates to di(amido-substituted)-heteroarene compounds and their use as osteoblastogenesis agents. The invention provides a method for inducing osteogenesis in a precursor cell capable of undergoing osteogenesis.US Patent Number: 7 541 379AN OPTIMIZED RELAXIVITY AND SPECIFICITY HEPATOBILIARY MRI CONTRAST AGENTAn adamantane functionalized magnetic resonance imaging (MRI) contrast agent has been synthesized  and shows high liver specificity  prolonged retention time in both the liver and kidneys  the highest relaxivity among clinical contrast agents  high water solubility  thermodynamic stability  signal intensity enhancement  hepatocellular uptake  and low osmolality and toxicity.US Patent Number: 7 767 196PHARMACEUTICAL COMPOSITION HAVING A RUTHENIUM OXALATO COMPOUND AND METHOD OF USING THE SAMEThe present invention relates to a pharmaceutical composition comprising one or more of the following ruthenium oxalato compounds I  II  III and IV as an active ingredient. The pharmaceutical composition can be used for the treatment of viral-infected patients or prophylactic treatment of patients at risk from viral infection.US Patent Number: 7 648 977PRC Patent Number: ZL200680039799.9EP Patent Number: 1940385LABEL-FREE OPTICAL SENSING AND CHARACTERIZATION OF BIOMOLECULES BY D8 NAD D10 METAL COMPLEXESNew!The present invention provides a composition for detecting and/or characterizing a multiple-charged biomolecule comprising a charged d.sup.8 or d.sup.10 metal complex  wherein the metal complex electrostatically binds to the multiple-charged biomolecule to induce aggregation and self-assembly of the metal complex through metal . . . metal interactions  .pi. . . . .pi. interactions  or a combination of both interactions. The present invention further provides assay methods and kits for label-free optical detection and/or characterization of biomolecules carrying multiple charges  e.g.  single-stranded nucleic acids  polyaspartate  polyglutamate  using a composition comprising a charged d.sup.8 or d.sup.10 metal complex.US Patent Number: 8 057 989US Patent Number: 8 309 304,
Faculty of Science,Chemistry,ANTI-CANCER PHOSPHINE CONTAINING [AuIIIm(CNC)mL]n+ COMPLEXES AND DERIVATIVES THEREOF AND METHODS FOR TREATING CANCER USING SUCH COMPOSITIONSGold(III) phosphine complexes [Au.sub.m(CNC).sub.mL].sup.n+ (where HCNCH=2 6-diphenylpyridine) and their use as anti-tumor agents are disclosed. Notable results for the appearance of new potential anti-tumor application of these gold(III) complexes are reported. The described complexes show promising cytotoxic properties toward cancer cells in both in vitro and in vivo studies.US Patent Number: 7 632 827ELECTRONIC TONGUE SENSORThe disclosure may relate to example embodiments of an electronic tongue sensor that may include an array of piezoelectric quartz crystal sensors with at least one coating specific for sensing a specific taste-producing molecule. In an example embodiment  a coating may include molecularly imprinted polymers of a specific taste-producing molecule.US Patent Number: 8 004 152PRC Patent Number: ZL200880107103.0LUMINESCENT GOLD (III) COMPOUNDS CONTAINING BIDENTATE LIGAND FOR ORGANIC LIGHT-EMITTING DEVICES AND  THEIR PREPARATIONNew!Embodiments of the invention are directed to luminescent gold(III) compounds contains a bidentate ligand with at least one strong .sigma.-donating group  a method of preparation of these compounds and the use of these compounds in organic light emitting devices. The gold(III) compounds have the chemical structure: ##STR00001## wherein: X is a nitrogen atom; Y is selected from a carbon or a nitrogen atom; A-B is a substituted or unsubstituted cyclometalating ligand (for Y.dbd.C) or diimine ligand (for Y.dbd.N); where A and B are cyclic structure derivatives; R.sub.1 and R.sub.2 are optionally substituted carbon donor ligands attached to the gold atom  with the proviso that R.sub.1 and R.sub.2 are not --CH.sub.3  --CH.sub.2SiMe.sub.3  mesityl  pentafluorophenyl  --CH.sub.2C(O)R   --CH(R)SO.sub.2CH(R)--  --C.sub.6H.sub.4N.dbd.NC.sub.6H.sub.5  and wherein R.sub.1 and R.sub.2 can optionally be combined into a bidentate ligand; and n is greater or equal to zero. More >>>US Patent Number: 8 372 977KOR Patent Number: 10-1398664PRC Patent Number: ZL201080031530.2PLATINUM ORGANOMETALLIC PHOTOVOLTAIC CELLNew!Organic photovoltaic (OPV) cells and methods of forming the same are provided. An OPV cell can include an organic photoactive layer comprising bis-(8-quinolinolato-N O)platinum (II) (PtQ.sub.2) having a general structure disclosed herein as Structure I. A method of forming an OPV cell can include forming an organic photoactive layer on a substrate  which can include a transparent electrode. The organic photoactive layer can comprises PtQ.sub.2 having the general structure of Structure I.US Patent Number: 9 093 654PRC Patent Number: ZL201110074768.X,
Faculty of Science,Chemistry,Catalyst for Hydrogen Generation from Small Organic MoleculesNew!A catalyst for the generation of hydrogen from a small organic molecule comprises a tertiary metal composition where: the first metal is either Pt or Ru; the second metal is at least one of Pt  Ru  Au  Pd  Rh  Ir  Os  and/or Re; and Bi  primarily present in the form of an oxide or of a mixture of oxides and carbonates and in the +3 oxidation state. A portion of the first and/or second metal may be in the form of an oxide. The catalyst can be in the form of a nanoparticle and supported on an inert substrate  such as carbon. The catalyst can be used for dehydrogenation of formic acid or other small organic molecules in a liquid state at ambient pressures and at temperatures below the boiling point of the liquid. The liquid can be an aqueous solution of the small organic molecule. More >>>US Patent Number: 8 754 000HYDROXY-SUBSTITUTED GOLD(III) PORPHYRIN COMPLEXES AS HISTONE DEACETYLASE INHIBITORSNew!A method for treatment of cancer by inhibiting the activity of histone deacetylase  comprising administering to a human in need of such treatment a composition containing a therapeutically effective amount of a gold(III) complex having the structural formula of ##STR00001## or a pharmaceutically acceptable salt thereof  wherein: --R is selected from the group consisting of --OH  --CH.sub.2OH  C.sub.2H.sub.4OH  --C.sub.3H.sub.6OH or --C.sub.4H.sub.8OH; and X is independently a pharmaceutically acceptable counter-ion.US Patent Number: 8 563 712PHARMACEUTICAL COMPOSITION CONTAINING CYCLOMETALATED N-HETEROCYCLIC CARBENE COMPLEXES FOR CANCER TREATMENTNew!The present disclosure is related to a pharmaceutical composition for treatment of cancer comprising a cyclometalated N-heterocyclic carbene complex. The cyclometalated N-heterocyclic carbene complex contains a gold(III) or a platinum(II) atom. The pharmaceutical composition possesses anti-cancer activity such as the induction of cell death  inhibition of cellular proliferation  inhibition of topoisomerase and/or poisoning of topoisomerase.US Patent Number: 8 530 659PRC Patent Number: ZL201080049820.XSOLID SUPPORTED GOLD NANOPARTICLES  METHODS OF USE THEREOF  AND METHODS FOR MAKING SAMENew!Solid-supported gold nanoparticles for use as a catalyst for the synthesis of quinolines from anilines and aldehydes using oxygen as an oxidant are provided. Also provided are a method for the preparation of SiO.sub.2-supported gold nanoparticles by in situ deposition of gold nanoparticles to silica gel and a method for synthesizing quinolines from anilines and aldehydes using oxygen as an oxidant. More >>>US Patent Number: 8 778 830,
Faculty of Science,Chemistry,PHOTOVOLTAIC CONVERSION ELEMENT AND PHOTOVOLTAIC CELLNew!Described herein are organic photovoltaic (OPV) cells using gold complex(es) with as chemical structure of Structure I as active material: ##STR00001## wherein  wherein R.sub.1-R.sub.15 are independently hydrogen  halogen  hydroxyl  an unsubstituted alkyl  a substituted alkyl  cycloalkyl  an unsubstituted aryl  a substituted aryl  acyl  alkoxy  acyloxy  amino  alkylamino  nitro  acylamino  aralkyl  cyano  carboxyl  thio  styryl  aminocarbonyl  carbamoyl  aryloxycarbonyl  phenoxycarbonyl  hydroxyalkyl  or an alkoxycarbonyl group. The OPV cell can be fabricated by thermal deposition or solution process such as spin coat and printing.US Patent Number: 9 306 183ANTIVIRAL COMPOUNDS AND METHODS OF MAKING AND USING THEREOFNew!Compounds which exhibit antiviral activity  particularly against influenza virus  and methods of making and using thereof are described herein. In one embodiment  the compounds are heterocyclic amides containing piperazine and isozazole rings and optionally substituted with one or more substituents. The compounds can be formulated with one or more pharmaceutically acceptable excipients to form compositions suitable for enteral or parenteral administration. The compounds are preferably used to treat or prevent Influenza A infections  such as H1N1  H2N2  H3N2  H5N1  H7N7  H1N2  H9N2  H7N2  H7N3  and H10N7.US Patent Number: 9 212 177EP Patent Number: 2462138PRC Patent Number: ZL201080044361.6,
Faculty of Science,Chemistry,PHOTOVOLTAIC CONVERSION ELEMENT AND PHOTOVOLTAIC CELLNew!Described herein are organic photovoltaic (OPV) cells using gold complex(es) with as chemical structure of Structure I as active material: ##STR00001## wherein  wherein R.sub.1-R.sub.15 are independently hydrogen  halogen  hydroxyl  an unsubstituted alkyl  a substituted alkyl  cycloalkyl  an unsubstituted aryl  a substituted aryl  acyl  alkoxy  acyloxy  amino  alkylamino  nitro  acylamino  aralkyl  cyano  carboxyl  thio  styryl  aminocarbonyl  carbamoyl  aryloxycarbonyl  phenoxycarbonyl  hydroxyalkyl  or an alkoxycarbonyl group. The OPV cell can be fabricated by thermal deposition or solution process such as spin coat and printing.US Patent Number: 9 306 183ANTIVIRAL COMPOUNDS AND METHODS OF MAKING AND USING THEREOFNew!Compounds which exhibit antiviral activity  particularly against influenza virus  and methods of making and using thereof are described herein. In one embodiment  the compounds are heterocyclic amides containing piperazine and isozazole rings and optionally substituted with one or more substituents. The compounds can be formulated with one or more pharmaceutically acceptable excipients to form compositions suitable for enteral or parenteral administration. The compounds are preferably used to treat or prevent Influenza A infections  such as H1N1  H2N2  H3N2  H5N1  H7N7  H1N2  H9N2  H7N2  H7N3  and H10N7.US Patent Number: 9 212 177EP Patent Number: 2462138PRC Patent Number: ZL201080044361.6,

